"Event"	"Reference (Event)"	"ID (Site)"	"ID (Dataset)"	"Site"	"Longitude"	"Latitude"	"Continent"	"modern training sites [#], full dataset"	"minimum modern T air (July) [°C], full dataset"	"maximum modern T air (July) [°C], full dataset"	"minimum modern T air (annual mean) [°C], full dataset"	"maximum modern T air (annual mean) [°C], full dataset"	"minimum modern Precip annual total [mm/a], full dataset"	"maximum modern Precip annual total [mm/a], full dataset"	"WA-PLS component T air (July), full dataset"	"WA-PLS r2 observed vs. predicted T air (July), full dataset"	"WA-PLS RMSEP T air (July), full dataset"	"MAT r2 observed vs. predicted T air (July), full dataset"	"MAT RMSEP T air (July), full dataset"	"WA-PLS component T air (annual mean), full dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), full dataset"	"WA-PLS RMSEP T air (annual mean), full dataset"	"MAT r2 observed vs. predicted T air (annual mean), full dataset"	"MAT RMSEP T air (annual mean), full dataset"	"WA-PLS component Precip annual total, full dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, full dataset"	"WA-PLS RMSEP Precip annual total, full dataset"	"MAT r2 observed vs. predicted Precip annual total, full dataset"	"MAT RMSEP Precip annual total, full dataset"	"minimum modern T air (July) [°C], after tailoring"	"maximum modern T air (July) [°C], after tailoring"	"minimum modern T air (annual mean) [°C], after tailoring"	"maximum modern T air (annual mean) [°C], after tailoring"	"minimum modern Precip annual total [mm/a], after tailoring"	"maximum modern Precip annual total [mm/a], after tailoring"	"modern training sites [#], July temperature-tailored dataset"	"minimum modern T air (July) [°C], July temperature-tailored dataset"	"maximum modern T air (July) [°C], July temperature-tailored dataset"	"minimum modern Precip annual total [mm/a], July temperature-tailored dataset"	"maximum modern Precip annual total [mm/a], July temperature-tailored dataset"	"WA-PLS component T air (July), July temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (July), July temperature-tailored dataset"	"WA-PLS RMSEP T air (July), July temperature-tailored dataset"	"WA-PLS component Precip annual total, July temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, July temperature-tailored dataset"	"WA-PLS RMSEP Precip annual total, July temperature-tailored dataset"	"modern training sites [#], annual mean temperature-tailored dataset"	"minimum modern T air (annual mean) [°C], annual mean temperature-tailored dataset"	"maximum modern T air (annual mean) [°C], annual mean temperature-tailored dataset"	"minimum modern Precip annual total [mm/a], annual mean temperature-tailored dataset"	"maximum modern Precip annual total [mm/a], annual mean temperature-tailored dataset"	"WA-PLS component T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS RMSEP T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS component Precip annual total, annual mean temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, annual mean temperature-tailored dataset"	"WA-PLS RMSEP Precip annual total, annual mean temperature-tailored dataset"	"modern training sites [#], annual precipitation-tailored dataset"	"minimum modern T air (July) [°C], annual precipitation-tailored dataset"	"maximum modern T air (July) [°C], annual precipitation-tailored dataset"	"minimum modern T air (annual mean) [°C], annual precipitation-tailored dataset"	"maximum modern T air (annual mean) [°C], annual precipitation-tailored dataset"	"minimum modern Precip annual total [mm/a], annual precipitation-tailored dataset"	"maximum modern Precip annual total [mm/a], annual precipitation-tailored dataset"	"WA-PLS component T air (July), annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (July), annual precipitation-tailored dataset"	"WA-PLS RMSEP T air (July), annual precipitation-tailored dataset"	"WA-PLS component T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS RMSEP T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS component Precip annual total, annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, annual precipitation-tailored dataset"	"WA-PLS RMSEP Precip annual total, annual precipitation-tailored dataset"
"KALIST"	"Neotoma"	1397	1433	"Kalistratikha Exposure"	83.25	53.333333	"Asia"	2196	-2	33	-15.4	14.8	15	992	2	0.44	3.94	0.61	3.3	2	0.54	3.47	0.66	3	2	0.73	99.23	0.84	75.82	5.3	25.7	-9.8	9	-19	483	1984	5.4	25.6	27	992	2	0.4	3.12	2	0.71	99.4	2027	-9.7	9	27	992	2	0.51	2.94	2	0.71	99.17	1471	-2	33	-15.4	14.8	15	482	2	0.48	4.47	2	0.55	3.85	2	0.71	71.02
"KARASYE"	"Neotoma"	1402	1439	"Karasye Lake"	70.22	53.03	"Asia"	2072	-0.5	33	-11.8	17.4	15	992	1	0.43	3.93	0.64	3.1	2	0.55	3.39	0.68	2.86	2	0.71	100.01	0.83	76.97	16.1	20.3	-0.7	4.3	349	512	922	16.1	20.3	27	828	1	0.21	0.94	2	0.68	79.39	878	-0.6	4.3	28	828	2	0.36	0.99	2	0.73	80.89	587	3.4	26.2	-10	10.2	350	511	2	0.75	1.87	1	0.72	2.3	1	0.26	39.7
"KARGA"	"Neotoma"	1404	1441	"Karginskii Cape Peat Exposure"	85	70	"Asia"	1250	-2.5	21.6	-18.4	2.7	136	992	2	0.64	2.07	0.73	1.81	2	0.78	2.83	0.82	2.52	2	0.55	99.66	0.72	79.46	10.1	20.1	-12.6	0.3	260	770	1108	10.1	20	181	992	2	0.66	1.59	2	0.55	94.85	638	-12.6	0.3	264	992	1	0.52	2.58	2	0.43	94.87	1077	5.1	21.6	-15.1	2.7	261	761	2	0.65	1.98	2	0.74	2.69	2	0.48	84.02
"KARGOPOL"	"Neotoma"	1405	1442	"Kargopolovo Exposure"	83	55	"Asia"	2135	3.3	33	-12.9	14.8	15	992	2	0.53	3.51	0.69	2.85	2	0.61	3.19	0.73	2.64	2	0.69	100.56	0.82	76.68	11.6	21.9	-5.6	3.7	341	510	1568	11.7	21.9	32	992	2	0.44	1.87	2	0.63	97.51	1412	-5.6	3.7	46	992	1	0.36	1.95	2	0.68	96.16	636	3.4	26.2	-11.1	10.2	342	510	2	0.73	2.23	1	0.71	2.47	1	0.27	42.73
"KAYAKSK"	"Neotoma"	1407	1444	"Kayakskoye Zaimitschye"	81	55	"Asia"	2107	3.3	33	-12.4	14.8	15	992	2	0.53	3.47	0.68	2.84	2	0.6	3.16	0.72	2.65	2	0.69	99.95	0.81	77.12	9.1	23.5	-8.6	4.5	231	619	1764	9.1	23.5	27	992	1	0.36	2.51	2	0.66	98.44	1776	-8.6	4.5	56	992	1	0.49	2.5	2	0.64	99.16	1546	3.3	28.7	-12.4	13	232	619	2	0.61	2.71	1	0.57	2.8	2	0.56	74.71
"Khlebnikova_Stream"	"Neotoma"	1476	1513	"Khlebnikov Stream Exposure 5858"	145.4882	43.73386	"Asia"	1063	8.2	27.5	-11.3	19.1	342	3486	2	0.65	2.27	0.75	1.89	2	0.8	2.78	0.88	2.2	2	0.82	253.88	0.84	240.68	12	22.3	-4.8	9	526	1280	850	12.1	22.3	342	3486	2	0.55	1.78	2	0.79	234.69	752	-4.7	8.9	384	3192	2	0.67	2.07	2	0.78	202.21	538	8.7	24.8	-7.9	14.1	529	1274	2	0.58	1.74	2	0.74	1.85	2	0.6	129.48
"KHOMUR"	"Neotoma"	1478	1515	"Bol'shoi Khomus-Yuryakh River"	153.75	70.125	"Asia"	915	-2.5	18.7	-18.4	-0.4	109	1058	1	0.43	2.55	0.62	2.08	1	0.3	2.86	0.51	2.4	1	0.29	87.24	0.45	77.16	10.9	11.3	-12.5	-11.8	254	264	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54	-12.5	-11.8	111	318	1	0.26	0.16	1	0.27	56.94	46	8.3	18.7	-16.1	-3.6	255	263	1	0.51	1.92	2	0.35	2.08	1	0.29	2.2
"KOLYMA"	"Neotoma"	1504	1542	"Berelyekh River"	147.75	63.283333	"Asia"	928	0.9	21.5	-16.5	4.5	136	1058	2	0.48	2.58	0.64	2.15	1	0.66	3.11	0.71	2.86	1	0.65	110.05	0.72	98.12	8	14.3	-15.7	-10.3	135	333	478	8.3	14.2	148	1058	1	0.23	1.38	2	0.55	97.6	558	-15.7	-10.3	136	391	1	0.29	1.39	1	0.29	51.77	587	0.9	18.7	-16.5	-7.7	136	329	1	0.52	2.54	1	0.36	1.49	1	0.28	42.46
"KOMARIT"	"Neotoma"	1505	1543	"Komaritsa Peat Exposure"	69	57.5	"Asia"	1883	3.3	31	-12.4	14.4	77	992	2	0.61	2.59	0.72	2.2	2	0.61	2.88	0.73	2.38	2	0.62	98.84	0.76	79.15	16.6	20.5	-3.3	6.4	260	841	859	16.7	20.4	90	828	2	0.39	0.73	2	0.61	76	1280	-3.3	6.4	77	992	1	0.44	1.68	2	0.63	88.87	1617	3.3	28.5	-12.4	13	261	834	1	0.52	2.34	1	0.57	2.78	2	0.43	90.29
"Kosmodemyanskaya-1"	"Neotoma"	1507	1545	"Gulf of Kosmodem'yanskaya-1 Exposure 5706"	145.94106	44.15141	"Asia"	1050	8.2	27.2	-11.3	18.9	342	3421	2	0.64	2.28	0.75	1.9	2	0.8	2.79	0.88	2.2	2	0.81	249.85	0.84	230.8	16	18.8	-0.4	3.9	646	888	290	16	18.7	422	3192	1	0.14	0.71	2	0.78	211.58	273	-0.4	3.9	395	2147	1	0.23	1.03	2	0.84	128.61	299	9.8	21.8	-2.7	7	647	885	1	0.55	1.49	1	0.52	1.46	1	0.12	46.94
"Kosmodemyanskaya-2"	"Neotoma"	1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	145.94102	44.15136	"Asia"	1050	8.2	27.2	-11.3	18.9	342	3421	2	0.64	2.28	0.75	1.9	2	0.8	2.79	0.88	2.2	2	0.81	249.85	0.84	230.8	13.5	19.2	-1.6	3.5	561	866	469	13.6	19.2	376	3421	1	0.28	1.25	2	0.8	216.04	270	-1.6	3.5	488	2147	2	0.48	1.27	2	0.82	134.56	379	9.8	23.1	-7.9	7	562	864	2	0.56	1.53	1	0.59	1.51	1	0.23	67.49
"Kosmodemyanskaya-3"	"Neotoma"	1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	145.93986	44.1522	"Asia"	1050	8.2	27.2	-11.3	18.9	342	3421	2	0.64	2.28	0.75	1.9	2	0.8	2.79	0.88	2.2	2	0.81	249.85	0.84	230.8	12.4	20	-5	5.1	494	959	625	12.5	20	342	3421	1	0.28	1.66	2	0.79	208.12	570	-4.7	5.1	395	2192	2	0.66	1.75	2	0.82	150.02	464	9.6	24.2	-7.9	7.8	494	928	1	0.5	1.88	2	0.61	1.87	2	0.45	79.36
"KOTYRKOL"	"Neotoma"	1511	1549	"Kotyrkol' Peat Bog"	70.38044	52.96222	"Asia"	2043	-1.1	33	-12.6	17.4	15	992	1	0.42	3.98	0.65	3.1	2	0.55	3.42	0.69	2.85	2	0.71	100.75	0.82	77.88	13.5	18.1	-3.5	1.7	322	507	718	13.6	18	27	828	1	0.23	1.08	2	0.72	83.7	804	-3.5	1.7	28	992	2	0.28	1.29	2	0.73	94.46	682	3.4	28.3	-10	13	323	506	2	0.76	2.41	2	0.71	2.47	1	0.36	44.91
"KREST"	"Neotoma"	1513	1551	"Kresta Gulf Exposure"	-179	66	"Asia"	959	0.9	16.5	-16.5	1.8	109	1058	1	0.27	2.18	0.51	1.8	2	0.46	3.08	0.63	2.56	1	0.17	121.07	0.41	102.25	9.9	11.7	-13.2	-8.8	191	279	168	9.9	11.6	116	1058	1	0.09	0.46	1	0.27	100.63	290	-13.2	-8.9	109	391	2	0.51	0.83	2	0.64	44.23	328	6.5	16.5	-16.5	-2	192	278	1	0.38	1.67	2	0.77	1.8	1	0.19	22.2
"KUBAGA"	"Neotoma"	1515	1553	"Bol'shaya Kuobakh-Baga River, Terrace Site"	143.375	64.983333	"Asia"	997	0.9	21.4	-16.5	3	136	1058	2	0.51	2.51	0.68	2.04	1	0.64	2.94	0.72	2.57	1	0.61	105.33	0.71	91.39	12.1	14	-12.2	-10.4	273	330	247	12.2	14	149	904	1	0.15	0.58	2	0.58	86.14	175	-12.2	-10.4	149	391	1	0.46	0.35	2	0.47	47.26	232	0.9	18.3	-15.1	-7.7	274	329	1	0.58	2.64	1	0.49	1.13	1	0.24	14.05
"KURO11"	"Neotoma"	1521	1559	"East Siberian Sea Coast 11"	156.25	71.066667	"Asia"	958	-2.5	18.7	-18.4	-0.4	109	1058	1	0.42	2.53	0.63	2.04	1	0.33	2.75	0.51	2.36	1	0.23	84.92	0.4	75.08	9.2	12.8	-14.4	-10.2	219	276	411	9.2	12.7	131	1058	1	0.17	0.96	1	0.37	87.73	543	-14.4	-10.2	109	391	2	0.4	1.04	1	0.26	53.47	314	5.9	18.7	-16.5	-3.6	222	276	2	0.6	2.03	1	0.47	2.03	1	0.16	15.52
"KUROP7"	"Neotoma"	1524	1562	"Bol'shaya Kuropatoch'ya River (KUROP7)"	156.75	70.666667	"Asia"	967	-2.5	18.7	-18.4	-0.4	109	1058	1	0.42	2.54	0.63	2.04	1	0.34	2.78	0.53	2.35	1	0.23	86.21	0.4	75.84	9.9	12	-14.1	-12.5	218	246	204	9.9	11.9	131	1058	1	0.09	0.56	1	0.32	92.79	227	-14.1	-12.5	151	386	1	0.18	0.44	1	0.22	44.21	107	5.9	18	-15.7	-4.1	218	246	2	0.48	1.6	2	0.59	1.86	1	0.1	6.35
"KURPEAT"	"Neotoma"	1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	156.375	69.966667	"Asia"	945	-2.5	18.7	-18.4	-0.4	109	1058	1	0.42	2.54	0.62	2.07	1	0.33	2.85	0.53	2.39	1	0.25	88.05	0.41	77.96	7.5	14.8	-15.1	-10.5	197	299	662	7.8	14.8	127	1058	1	0.22	1.51	1	0.33	92.11	558	-15	-10.6	109	391	2	0.35	1.11	1	0.25	53.14	460	0.9	18.7	-16.5	-3.6	197	298	2	0.57	2.37	1	0.5	1.93	1	0.17	24.63
"Kyurbe-Yuryakh-2"	"Neotoma"	1528	1566	"Kyurbe-Yuryakh-2"	138.616667	68.598611	"Asia"	931	-2.5	19.9	-18.4	-0.4	136	1058	2	0.44	2.59	0.62	2.14	1	0.52	2.85	0.61	2.57	1	0.49	96.01	0.61	83.48	11.8	13.5	-12.4	-11	267	326	204	11.9	13.4	149	736	1	0.23	0.39	1	0.41	88.37	80	-12.4	-11	148	453	1	0.38	0.37	1	0.34	67.97	256	0.9	18.3	-16.5	-7.7	268	325	1	0.59	2.61	1	0.46	1.24	1	0.21	15.07
"LEDOBOZ"	"Neotoma"	1577	1623	"Ledovyi Obryu Exposure, Southern Section"	171.183333	64.1	"Asia"	886	0.9	18.3	-16.5	1.9	109	1058	1	0.3	2.29	0.54	1.86	2	0.48	3.08	0.62	2.64	1	0.27	105.36	0.43	92.93	9.5	12.3	-14.6	-5	163	426	326	9.6	12.3	131	1058	1	0.13	0.76	1	0.31	112.13	647	-14.6	-5	109	502	2	0.52	2.07	2	0.45	61.93	738	0.9	18.3	-16.5	-0.7	163	422	1	0.36	2.16	2	0.62	2.34	1	0.33	60.38
"Lesnaya_River"	"Neotoma"	1580	1627	"Lesnaya River Exposure"	145.75	44	"Asia"	1054	8.2	27.5	-11.3	19.1	342	3421	2	0.64	2.27	0.75	1.9	2	0.8	2.78	0.88	2.2	2	0.82	250.32	0.84	232.33	12.3	18.8	-5.2	4.4	404	1109	461	12.4	18.7	342	3192	2	0.37	1.28	2	0.81	199.3	524	-4.7	4.4	395	2192	2	0.67	1.66	2	0.81	139.49	618	8.7	24.3	-7.9	7.8	407	1108	1	0.55	2.06	2	0.7	2.09	2	0.63	103.08
"Lesnoye_Lake"	"Neotoma"	1581	1628	"Lesnoye Lake"	151.866667	59.583333	"Asia"	978	0.9	22.5	-16.5	8.1	136	1411	2	0.49	2.54	0.63	2.16	1	0.76	3.23	0.82	2.87	1	0.81	126.37	0.85	113.5	9.4	15.4	-13.2	-2.6	202	642	501	9.4	15.3	148	1411	1	0.18	1.41	2	0.71	111.03	491	-13.2	-2.7	148	904	1	0.24	2.33	1	0.25	91.41	644	0.9	22.5	-16.5	3.6	203	641	1	0.39	2.65	1	0.49	3.21	1	0.48	87.82
"Lorino"	"Neotoma"	1612	1664	"Lorino Exposure"	-171.7	65.5	"Asia"	889	0.9	16.9	-16	5.7	109	2515	1	0.31	2.18	0.56	1.75	1	0.45	2.92	0.69	2.17	1	0.58	144.2	0.76	112.76	7.5	11.9	-13.5	-8.1	144	267	315	7.6	11.9	116	958	1	0.15	1.05	1	0.18	138.95	385	-13.4	-8.1	109	391	1	0.51	1.02	2	0.57	46.44	402	2.7	16.5	-16	-2	145	267	1	0.37	2.06	2	0.68	1.57	1	0.11	31.79
"LUKA"	"Neotoma"	1626	1680	"Lukaschin Yar Peat Exposure"	78.5	61	"Asia"	1856	3.3	29.5	-15.1	10.9	58	992	2	0.64	2.54	0.74	2.16	2	0.73	2.7	0.81	2.24	2	0.61	102.6	0.78	76.77	6.2	20.8	-14	3.1	224	686	1651	6.5	20.8	90	992	1	0.49	2.33	2	0.57	101.84	1601	-13.9	3.1	77	992	1	0.65	2.6	2	0.58	100.43	1533	3.3	26.2	-15.1	10.2	225	682	2	0.64	2.23	1	0.72	2.63	2	0.54	80.89
"MADJAGA"	"Neotoma"	1632	1687	"Lake Madjagara"	120.966667	64.833333	"Asia"	1204	-2.5	21.6	-18.4	1.2	136	779	1	0.53	2.45	0.71	1.93	1	0.66	2.95	0.76	2.43	1	0.56	88.74	0.72	70.64	13.7	17	-9.8	-5.5	338	443	363	13.8	16.9	170	731	1	0.28	0.89	2	0.66	85.32	154	-9.8	-5.7	258	644	1	0.31	1	1	0.14	74.91	195	10.1	20	-14.7	-0.9	342	440	2	0.8	1.27	2	0.66	2.07	1	0.14	26.79
"MAIN"	"Neotoma"	1633	1688	"Ledovyi Obryv Exposure, Northern Section"	171.183333	64.1	"Asia"	886	0.9	18.3	-16.5	1.9	109	1058	1	0.3	2.29	0.54	1.86	2	0.48	3.08	0.62	2.64	1	0.27	105.36	0.43	92.93	8.2	12.7	-16.8	-4.7	103	443	424	8.2	12.6	130	1058	1	0.13	1.07	1	0.33	111.43	754	-16.5	-4.8	109	502	2	0.53	2.3	1	0.38	64.25	806	0.9	18.3	-16.5	-0.7	109	441	1	0.36	2.26	2	0.6	2.36	1	0.36	64.13
"MALTAN"	"Neotoma"	1640	1695	"Maltan River Exposure"	151.616667	60.883333	"Asia"	924	0.9	21.5	-16.5	6.4	136	1199	2	0.47	2.57	0.62	2.17	1	0.72	3.15	0.77	2.89	1	0.75	117.5	0.78	109.32	8.1	14.8	-15.1	-9.4	146	367	482	8.3	14.7	148	1198	2	0.27	1.36	2	0.66	107.42	535	-15.1	-9.5	136	619	1	0.36	1.31	1	0.26	54.18	560	0.9	18.7	-16.5	-7.7	148	365	1	0.49	2.51	1	0.3	1.6	1	0.24	46.15
"MAMENM"	"Neotoma"	1641	1696	"Enmynveem River (mammoth site)"	165.933333	68.166667	"Asia"	1063	0.9	18.7	-16.5	1.9	109	1058	1	0.4	2.38	0.61	1.92	2	0.46	2.89	0.63	2.39	1	0.22	97.49	0.44	82.39	9	12.5	-17.4	-9.6	105	316	387	9	12.4	116	1058	1	0.15	0.89	1	0.31	110.63	661	-16.5	-9.7	109	391	1	0.28	1.56	1	0.32	52.67	752	0.9	18.7	-16.5	-3.4	109	316	2	0.52	2.35	2	0.61	1.84	1	0.29	43.63
"Mereya_River"	"Neotoma"	1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	142.916667	46.616667	"Asia"	1326	8.2	27.2	-15.7	18.9	218	3421	2	0.61	2.24	0.75	1.78	2	0.81	3.26	0.88	2.58	2	0.85	231.52	0.87	211.84	12.6	27.6	-8.7	6.9	281	818	1222	12.6	27.2	218	3421	2	0.59	1.98	2	0.84	235.61	845	-8.6	6.9	218	2192	2	0.7	2.09	2	0.83	162.09	735	9.3	24.3	-13.9	9.8	283	817	1	0.65	1.87	2	0.7	2.79	2	0.78	78.6
"Nizmennyii_Cape"	"Neotoma"	1751	1809	"Cape Nizmennyii Exposure C3352"	142.016667	49.166667	"Asia"	1366	8.2	26.7	-16.5	17.7	215	3192	2	0.56	2.26	0.73	1.78	2	0.8	3.42	0.88	2.69	2	0.85	209	0.88	188.2	14.5	18.4	-8.3	0.7	354	642	560	14.5	18.3	236	3192	1	0.12	0.93	2	0.86	168.45	391	-7.9	0.7	218	2192	1	0.5	1.45	2	0.69	108.8	371	9.3	24.3	-11.7	7.8	355	641	1	0.71	1.92	1	0.64	2.51	1	0.51	58.96
"NIZVAR"	"Neotoma"	1752	1810	"Nizhnevartovskoye Exposure"	77	61.25	"Asia"	1808	3.3	29.5	-15.1	10.9	77	992	1	0.59	2.62	0.73	2.14	1	0.7	2.76	0.81	2.24	2	0.6	102.48	0.77	77.36	9.8	18.4	-9.3	0.2	210	592	1170	9.9	18.3	93	992	1	0.45	1.78	2	0.58	104.24	851	-9.2	0.2	90	992	1	0.33	2.14	2	0.61	107.01	1379	3.3	26.2	-15.1	10.2	210	592	2	0.68	2.23	1	0.74	2.64	2	0.54	75.38
"ONEMEN"	"Neotoma"	1773	1832	"Northern Coast of Onemen Gulf"	176.166667	64.783333	"Asia"	864	0.9	16.5	-16.5	1.9	109	1058	1	0.31	2.17	0.51	1.83	2	0.5	3.11	0.63	2.7	1	0.27	110.48	0.4	100.03	10.2	13.5	-13.7	-1.7	172	634	448	10.2	13.5	116	1058	1	0.11	0.85	2	0.43	108.67	648	-13.4	-1.8	109	1058	2	0.49	2.3	2	0.42	82.47	730	0.9	16.5	-16.5	1.8	173	627	1	0.25	2.02	2	0.52	3.04	1	0.21	87.76
"Opasnaya_River"	"Neotoma"	1777	1836	"Headwaters Opasnaya River"	138.483333	48.233333	"Asia"	1684	8.2	27.2	-16.5	18.9	196	3421	1	0.54	2.31	0.74	1.73	2	0.79	3.37	0.88	2.58	2	0.85	237.85	0.9	196.44	15.9	17.6	-6.5	2	347	739	293	16	17.5	248	2547	1	0.1	0.44	2	0.88	194.98	524	-6.3	2	215	2192	1	0.63	1.44	2	0.8	114.48	632	9.3	25.2	-14.7	10.8	348	738	2	0.69	1.91	2	0.7	2.66	2	0.68	69.18
"OPASMS"	"Neotoma"	1778	1837	"Headwaters Opasnaya River (mine shaft)"	138.483333	48.233333	"Asia"	1684	8.2	27.2	-16.5	18.9	196	3421	1	0.54	2.31	0.74	1.73	2	0.79	3.37	0.88	2.58	2	0.85	237.85	0.9	196.44	16.5	17.8	-2.2	1.5	589	711	287	16.6	17.7	248	2547	1	0.01	0.35	2	0.89	186.73	274	-2.2	1.5	215	2030	2	0.37	0.86	2	0.84	117.55	138	9.8	25.2	-9.8	10.8	590	711	2	0.65	1.76	2	0.59	2.22	1	0.19	36.75
"Oumi"	"Neotoma"	1783	1842	"Oumi Exposure"	138.4	48.216667	"Asia"	1690	8.2	27.2	-16.5	18.9	196	3421	1	0.54	2.32	0.74	1.76	2	0.79	3.38	0.88	2.62	2	0.85	237.61	0.9	196.41	15	16.7	-7.7	-1.3	325	578	191	15	16.7	284	2209	1	0.1	0.47	1	0.85	202.26	265	-7.5	-1.3	310	2192	1	0.53	1.17	2	0.42	128.53	459	9.3	24.3	-14.7	8.8	326	578	2	0.75	1.78	2	0.76	2.48	2	0.46	51.37
"OVRA1"	"Neotoma"	1784	1843	"Ovrazhnyii-1 Stream Exposure"	134.566667	43.25	"Asia"	1570	8.2	28.5	-10	19.1	123	3486	2	0.55	2.23	0.69	1.86	2	0.71	2.91	0.82	2.34	2	0.84	255.23	0.89	209.72	13.7	21.4	-5.4	7.5	218	1315	1061	13.7	21.3	215	3486	2	0.38	1.42	2	0.84	221.51	1113	-4.7	7.5	123	2547	2	0.53	2.12	2	0.86	170.93	1144	8.7	28.5	-10	16.5	220	1314	2	0.56	2.06	2	0.69	2.7	2	0.82	120.83
"Ovrazhnyii_Stream-2"	"Neotoma"	1785	1844	"Ovrazhnyii-2 Exposure 667-842"	134.566667	43.25	"Asia"	1570	8.2	28.5	-10	19.1	123	3486	2	0.55	2.23	0.69	1.86	2	0.71	2.91	0.82	2.34	2	0.84	255.23	0.89	209.72	14.4	21.6	-4.1	8.5	438	1123	1079	14.4	21.5	215	3486	2	0.36	1.41	2	0.84	222.79	1139	-4.1	8.4	123	3192	2	0.52	2.16	2	0.84	190.54	699	8.7	28.5	-9.8	16.1	439	1120	2	0.61	2.17	2	0.7	2.69	2	0.65	99.33
"OZERKI"	"Neotoma"	1786	1845	"Ozerki"	80.466667	50.416667	"Asia"	2065	-2.2	33	-15.8	14.8	15	992	1	0.38	4.31	0.59	3.53	2	0.49	3.56	0.6	3.15	2	0.74	99.16	0.85	76.13	12.5	19.5	-3.9	4.1	89	493	1218	12.6	19.5	27	992	2	0.34	1.55	2	0.71	91.06	1280	-3.9	4.1	28	992	1	0.33	1.67	2	0.74	93.38	1262	-2	30.7	-15.4	13.8	89	493	1	0.55	3.9	1	0.51	3.47	2	0.63	66.69
"Paramonovskii_Stream"	"Neotoma"	1791	1850	"Paramonovskii Stream Exposure 4980"	133.75	43.2	"Asia"	1585	8.2	28.5	-10	19.1	107	3486	2	0.55	2.23	0.69	1.85	2	0.71	2.92	0.82	2.34	2	0.84	254.36	0.89	210.1	14.7	22.4	-3	8.8	412	1194	1182	14.8	22.3	107	3486	2	0.36	1.52	2	0.84	230.38	1109	-2.9	8.8	107	3192	2	0.46	2.1	2	0.84	194.31	789	8.7	28.5	-9.8	16.1	413	1193	2	0.61	2.2	2	0.7	2.77	2	0.71	107.65
"PASHENN"	"Neotoma"	1798	1860	"Pashennoe"	75.39858	49.36771	"Asia"	1949	-2.2	33	-15.8	16.6	15	992	1	0.41	4.21	0.61	3.42	2	0.49	3.55	0.61	3.08	2	0.73	101.56	0.84	77.2	14.2	18.8	-1.5	3	189	410	860	14.3	18.8	27	828	1	0.21	1.12	2	0.64	88.9	841	-1.5	3	28	828	1	0.27	1	2	0.74	85.89	656	3.3	28.7	-11.3	13	191	410	2	0.63	3.73	2	0.62	3.05	2	0.41	45.64
"PAVLOVKA"	"Neotoma"	1805	1867	"Pavlovka Exposure 988"	134	44.316667	"Asia"	1649	8.2	28.5	-11	19.1	107	3486	2	0.56	2.18	0.69	1.85	2	0.72	3.28	0.83	2.56	2	0.84	252.37	0.9	206.78	14.1	19.7	-8.1	3.4	387	821	852	14.2	19.7	218	3486	2	0.38	1.12	2	0.85	214.31	640	-7.9	3.4	148	2192	2	0.58	1.59	2	0.85	121.4	658	12	27.6	-9.8	14.6	387	820	2	0.53	2.1	2	0.63	2.78	2	0.73	65.83
"PENZHIN"	"Neotoma"	1821	1885	"Penzhinskaya Gulf"	165.416667	62.416667	"Asia"	853	0.9	18.7	-16.5	1.9	109	1058	2	0.45	2.35	0.62	1.94	2	0.54	3.1	0.67	2.65	2	0.52	105.36	0.63	91.97	11.2	13.6	-10.4	-7.2	254	426	269	11.2	13.6	148	925	1	0.08	0.55	2	0.45	104.48	86	-10.3	-7.3	131	422	1	0.35	0.77	1	0.35	51.2	371	0.9	18.7	-16.5	-0.7	255	422	2	0.54	2.15	2	0.52	2.22	2	0.4	39.83
"PEPELNOY"	"Neotoma"	1822	1886	"Pepel'noye Lake"	150.616667	59.85	"Asia"	991	0.9	22.5	-16.5	8.1	136	1411	2	0.51	2.53	0.64	2.16	2	0.79	3.09	0.81	2.93	1	0.8	127.69	0.84	114.67	11.1	13.4	-12	-10	262	341	202	11.2	13.3	148	1411	1	0.07	0.5	2	0.76	90.38	217	-11.9	-10	149	391	2	0.47	0.35	2	0.42	44.26	219	0.9	18.3	-16.5	-7.7	264	336	2	0.6	2.43	1	0.35	1.36	1	0.26	16.08
